Feature,Mutual Information
carat,1.6509052367533100
cut,0.0577526041295231
color,0.13772179539308500
clarity,0.22064913192806200
depth,0.0306770520723596
table,0.03770151643473520
x,1.4103450738939900
y,1.4196004126300900
z,1.35930890126465
